id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,collection day 1,collection month 1,collection year 1,collection day 2,collection month 2,collection year 2,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:947900-1,,(Pedley) R.S.Cowan & Maslin,Acacia adenogonia,Leguminosae,,Acacia,,adenogonia,,false,false,spec.,Nuytsia 7(2): 203 (1990):.,1990,R.S.Cowan & Maslin,urn:lsid:ipni.org:publications:1029-2,"R.S.Cowan@1850-1@2@aut, Maslin@6190-1@3@aut, Pedley@7460-1@1@bas",,,,Nuytsia,,,comb. nov.,7(2): 203 (1990):,,,,,,,,,,,,true,,,,,,,,,,,,,,,Racosperma adenogonium.,(Pedley),,,,,,,,,,,,1990,1990,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77146096-1,,Maslin,Acacia adjutrices,Leguminosae,,Acacia,,adjutrices,,false,false,spec.,Nuytsia 24: 139. 2014 [3 Jul 2014] [epublished],2014,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,nom. et stat. nov.,24: 139,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [3 Jul 2014],[3 Jul 2014],,[epublished],,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:60439442-2,,L.Rico,Acacia amabilis,Mimosaceae,,Acacia,,amabilis,,false,false,spec.,Acta Bot. Mex. 71: 91. 2005 [22 Apr 2005],2005,L.Rico,urn:lsid:ipni.org:publications:7662-2,L.Rico@35382-1@1@aut,,,,Acta Bot. Mex.,,,nom. nov.,71: 91,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 [22 Apr 2005],[22 Apr 2005],,,non A. subsessilis A. R. Chapman (1999).,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:1008324-1,,Maslin,Acacia amputata,Leguminosae,,Acacia,,amputata,,false,false,spec.,"Nuytsia 12(3): 493 (1999), nom. nov.",1999,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,nom. nov.,"12(3): 493 (1999), nom. nov.",,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,ACACIA pulchella var. subsessilis,,,,,,,,1999,1999,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:469735-1,,(Lam.) Willd.,Acacia arabica,Leguminosae,,Acacia,,arabica,,false,false,spec.,"Sp. Pl., ed. 4 [Willdenow] 4(2): 1085. 1806 [Apr 1806]",1806,Willd.,urn:lsid:ipni.org:publications:1302-2,"Willd.@11692-1@1@aut, Lam.@5227-1@2@bas",,Afr.; As. trop,,"Sp. Pl., ed. 4 [Willdenow]",,,comb. nov.,4(2): 1085,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806 [Apr 1806],[Apr 1806],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:948157-1,,(Pedley) Pedley,Acacia armillata,Leguminosae,,Acacia,,armillata,,false,false,spec.,Austrobaileya 3(2): 215 (1990):.,1990,Pedley,urn:lsid:ipni.org:publications:1801-2,"Pedley@7460-1@2@aut, Pedley@7460-1@1@bas",,,,Austrobaileya,,,comb. nov.,3(2): 215 (1990):,,,,,,,,,,,,true,,,,,,,,,,,,,,,Racosperma armillatum.,(Pedley),,,,,,,,,,,,1990,1990,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:907729-1,,R.P.Subhedar,Acacia bolei,Leguminosae,,Acacia,,bolei,,false,false,spec.,"J. Bombay Nat. Hist. Soc. 82(2): 440 (1985), nom. nov.",1985,R.P.Subhedar,urn:lsid:ipni.org:publications:677-2,R.P.Subhedar@27322-1@1@aut,,,,J. Bombay Nat. Hist. Soc.,,,nom. nov.,"82(2): 440 (1985), nom. nov.",,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,ACACIA wightii,,,,,,,,1985,1985,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:60448811-2,,Willd.,Acacia brachyloba,Mimosaceae,,Acacia,,brachyloba,,false,false,spec.,"Sp. Pl., ed. 4 [Willdenow] 4(2): 1071. 1806",1806,Willd.,urn:lsid:ipni.org:publications:1302-2,Willd.@11692-1@1@aut,,,,"Sp. Pl., ed. 4 [Willdenow]",,,nom. nov.,4(2): 1071,,,,,,,,,,,,true,,,,,,,,,,nom. illeg. nom. superfl.,,,nom. illeg.,,,,,,,,,,,,,,,1806,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:469903-1,,(L.) Willd.,Acacia caesia,Leguminosae,,Acacia,,caesia,,false,false,spec.,"Sp. Pl., ed. 4 [Willdenow] 4(2): 1090. 1806 [Apr 1806]",1806,Willd.,urn:lsid:ipni.org:publications:1302-2,"L.@12653-1@2@bas, Willd.@11692-1@1@aut",,#NOME?,,"Sp. Pl., ed. 4 [Willdenow]",,,comb. nov.,4(2): 1090,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806 [Apr 1806],[Apr 1806],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:469904-1,,Wight & Arn.,Acacia caesia,Leguminosae,,Acacia,,caesia,,false,false,spec.,Prodr. Fl. Ind. Orient. 1: 278. 1834 [10 Oct 1834],1834,Wight & Arn.,urn:lsid:ipni.org:publications:3799-2,"Wight@11658-1@1@aut, Arn.@281-1@2@aut",,Ind. or,,Prodr. Fl. Ind. Orient.,,,nom. nov.,0.234722222,,,,,,,,,,,,true,,,,,,,,,,nom. illeg. later homonym    non (L.) Willd. 1806; also nom. superfl. (doubly illegitimate).,,,nom. illeg.,,,,,,,,,,,,,,,1834 [10 Oct 1834],[10 Oct 1834],,,,,,,,,,false,true,,,,
