num,id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,collection day 1,collection month 1,collection year 1,collection day 2,collection month 2,collection year 2,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
1,urn:lsid:ipni.org:names:1007211-1,,Pedley,Acacia abbatiana,Leguminosae,,Acacia,,abbatiana,,false,false,spec.,Austrobaileya 5(2): 313 (1999).,1999,Pedley,urn:lsid:ipni.org:publications:1801-2,Pedley@7460-1@1@aut,,,,Austrobaileya,,,tax. nov.,5(2): 313 (1999),4873,A.R. Bean,2,8,1992,,,,Queensland.,,,true,,,,"South Kennedy District: Mt Abbot, 50km W of Bowen, 20 06 S, 147 46 E, 800m",,,,,,,,,,,,,,,,,,Queensland.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Queensland Herbarium;isotype National Herbarium of Victoria;isotype HO;isotype Herbarium, Royal Botanic Gardens;isotype Rijksherbarium;isotype Herbarium, Missouri Botanical Garden;isotype National Herbarium of New South Wales;isotype State Herbarium of South Australia;isotype Herbarium, Bishop Museum",,,
1,urn:lsid:ipni.org:names:469620-1,,Maiden & Blakely,Acacia abrupta,Leguminosae,,Acacia,,abrupta,,false,false,spec.,J. Roy. Soc. Western Australia 13: 6 (1927).,1927,Maiden & Blakely,urn:lsid:ipni.org:publications:1553-2,"Maiden@5992-1@1@aut, Blakely@840-1@2@aut",,W. Austral,,J. Roy. Soc. Western Australia,,,tax. nov.,13: 6 (1927),,,,,,,,,"Western Australia (Western Australia, Australia, Australasia)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:1008226-1,,Maslin,Acacia acanthaster,Leguminosae,,Acacia,,acanthaster,,false,false,spec.,Nuytsia 12(3): 312 (1999).,1999,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,tax. nov.,12(3): 312 (1999),6986,K. Newbey,9,8,1980,,,,Western Australia.,,,true,,,,"20km south-east of Sinclaire Soak, c. 63km north-east of Norseman",,,,,,,,,,,,,,,,,,Western Australia.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Western Australian Herbarium 00734950;isotype Herbarium, Royal Botanic Gardens;isotype Western Australian Herbarium",,,
1,urn:lsid:ipni.org:names:469631-1,,Maiden & Blakely,Acacia acellerata,Leguminosae,,Acacia,,acellerata,,false,false,spec.,J. Roy. Soc. Western Australia 13: 2 (1927).,1927,Maiden & Blakely,urn:lsid:ipni.org:publications:1553-2,"Maiden@5992-1@1@aut, Blakely@840-1@2@aut",,W. Austral,,J. Roy. Soc. Western Australia,,,tax. nov.,13: 2 (1927),,,,,,,,,"Western Australia (Western Australia, Australia, Australasia)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469632-1,,Humb. & Bonpl. ex Willd.,Acacia acicularis,Leguminosae,,Acacia,,acicularis,,false,false,spec.,Enum. Pl. [Willdenow] 1056. 1809 [Jun 1809],1809,Humb. & Bonpl. ex Willd.,urn:lsid:ipni.org:publications:910-2,"Humb.@4222-1@1@aut, Bonpl.@12355-1@2@aut, Willd.@11692-1@3@autEx",,#NOME?,,Enum. Pl. [Willdenow],,,tax. nov.,1056,,,,,,,,,,,,true,,,,America meridionali,,,,,,,,,,,,,,,,,,,,,,,,1809 [Jun 1809],[Jun 1809],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:1008228-1,,Maslin,Acacia acoma,Leguminosae,,Acacia,,acoma,,false,false,spec.,Nuytsia 12(3): 315 (1999).,1999,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,tax. nov.,12(3): 315 (1999),5428,B.R. Maslin,23,9,1983,,,,Western Australia.,,,true,,,,"near Mt Glasse, Bremer Range",,,,,,,,,,,,,,,,,,Western Australia.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Western Australian Herbarium 00174750;isotype Australian National Herbarium;isotype Herbarium, Royal Botanic Gardens;isotype National Herbarium of Victoria",,,
1,urn:lsid:ipni.org:names:940122-1,,Pedley,Acacia acrionastes,Leguminosae,,Acacia,,acrionastes,,false,false,spec.,Austrobaileya 3(2): 297 (1990).,1990,Pedley,urn:lsid:ipni.org:publications:1801-2,Pedley@7460-1@1@aut,,,,Austrobaileya,,,tax. nov.,3(2): 297 (1990),,,,,,,,,Australia (Queensland).,,,true,,,,,,,,,,,,,,,,,,,,,,Australia (Queensland).,,,,,,1990,1990,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:1008229-1,,Maslin,Acacia aculeiformis,Leguminosae,,Acacia,,aculeiformis,,false,false,spec.,Nuytsia 12(3): 317 (1999).,1999,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,tax. nov.,12(3): 317 (1999),5491,B.R. Maslin,22,11,1983,,,,Western Australia.,,,true,,,,10.5km north of Three Springs on The Midlands Rd to Mingenew,,,,,,,,,,,,,,,,,,Western Australia.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Western Australian Herbarium 00739367;isotype Australian National Herbarium;isotype Herbarium, Royal Botanic Gardens;isotype National Herbarium of Victoria;isotype The New York Botanical Garden;isotype Western Australian Herbarium",,,
1,urn:lsid:ipni.org:names:1008230-1,,Maslin,Acacia adinophylla,Leguminosae,,Acacia,,adinophylla,,false,false,spec.,Nuytsia 12(3): 318 (1999).,1999,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,tax. nov.,12(3): 318 (1999),112,A.P. Brown,3,9,1984,,,,Western Australia.,,,true,,,,Helena and Aurora Ranges,,,,,,,,,,,,,,,,,,Western Australia.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Western Australian Herbarium 00731250;isotype Australian National Herbarium;isotype Conservatoire et Jardin botaniques de la Ville de Gen├¿ve;isotype Herbarium, Royal Botanic Gardens;isotype National Herbarium of Victoria;isotype The New York Botanical Garden;isotype Western Australian Herbarium",,,
1,urn:lsid:ipni.org:names:991279-1,,Maslin,Acacia aemula,Leguminosae,,Acacia,,aemula,,false,false,spec.,Nuytsia 10(2): 169 (1995).,1995,Maslin,urn:lsid:ipni.org:publications:1029-2,Maslin@6190-1@1@aut,,,,Nuytsia,,,tax. nov.,10(2): 169 (1995),,,,,,,,,Western Australia.,,,true,,,,,,,,,,,,,,,,,,,,,,Western Australia.,,,,,,1995,1995,,,,,,,,,,false,true,,,,
