num,id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,collection day 1,collection month 1,collection year 1,collection day 2,collection month 2,collection year 2,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
1,urn:lsid:ipni.org:names:469618-1,,Maslin,Acacia abbreviata,Leguminosae,,Acacia,,abbreviata,,false,false,spec.,J. Adelaide Bot. Gard. 2(4): 301. 1980,1980,Maslin,urn:lsid:ipni.org:publications:18983-2,Maslin@6190-1@1@aut,,Australia (N.Terr.),,J. Adelaide Bot. Gard.,,,unknown,2(4): 301,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469619-1,,Willd.,Acacia abietina,Leguminosae,,Acacia,,abietina,,false,false,spec.,"Sp. Pl., ed. 4 [Willdenow] 4(2): 1051. 1806 [Apr 1806]",1806,Willd.,urn:lsid:ipni.org:publications:1302-2,Willd.@11692-1@1@aut,,#NOME?,,"Sp. Pl., ed. 4 [Willdenow]",,,unknown,4(2): 1051,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806 [Apr 1806],[Apr 1806],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469621-1,,Steud.,Acacia abstergens,Leguminosae,,Acacia,,abstergens,,false,false,spec.,"Nomencl. Bot.  [Steudel], ed. 2. 1: 3. 1840",1840,Steud.,urn:lsid:ipni.org:publications:1534-2,Steud.@10122-1@1@aut,,#NOME?,,"Nomencl. Bot.  [Steudel], ed. 2.",,,unknown,1:03,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469622-1,,Hochst. ex Benth.,Acacia abyssinica,Leguminosae,,Acacia,,abyssinica,,false,false,spec.,London J. Bot. 5: 97. 1846,1846,Hochst. ex Benth.,urn:lsid:ipni.org:publications:704-2,"Hochst.@3983-1@1@aut, Benth.@15956-1@2@autEx",,Abyssin,,London J. Bot.,,,unknown,0.275694444,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469623-1,,Willd.,Acacia acanthocarpa,Leguminosae,,Acacia,,acanthocarpa,,false,false,spec.,Enum. Pl. [Willdenow] 2: 1057. 1809 [Jun 1809],1809,Willd.,urn:lsid:ipni.org:publications:910-2,Willd.@11692-1@1@aut,,#NOME?,,Enum. Pl. [Willdenow],,,unknown,0.817361111,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809 [Jun 1809],[Jun 1809],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469624-1,,F.Muell.,Acacia acanthoclada,Leguminosae,,Acacia,,acanthoclada,,false,false,spec.,Fragm. (Mueller) 3(22): 127. 1863 [Mar 1863],1863,F.Muell.,urn:lsid:ipni.org:publications:654-2,F.Muell.@6732-1@1@aut,,Austral,,Fragm. (Mueller),,,unknown,3(22): 127,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863 [Mar 1863],[Mar 1863],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469625-1,,Humb. & Bonpl. ex Willd.,Acacia acantholoba,Leguminosae,,Acacia,,acantholoba,,false,false,spec.,"Sp. Pl., ed. 4 [Willdenow] 4(2): 1089. 1806 [Apr 1806]",1806,Humb. & Bonpl. ex Willd.,urn:lsid:ipni.org:publications:1302-2,"Bonpl.@12355-1@2@aut, Humb.@0-0@1@aut, Willd.@11692-1@3@autEx",,#NOME?,,"Sp. Pl., ed. 4 [Willdenow]",,,unknown,4(2): 1089,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806 [Apr 1806],[Apr 1806],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469626-1,,Steud.,Acacia acanthophora,Leguminosae,,Acacia,,acanthophora,,false,false,spec.,"Nomencl. Bot.  [Steudel], ed. 2. 1: 3. 1840",1840,Steud.,urn:lsid:ipni.org:publications:1534-2,Steud.@10122-1@1@aut,,#NOME?,,"Nomencl. Bot.  [Steudel], ed. 2.",,,unknown,1:03,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469635-1,,Lindl.,Acacia acinacea,Leguminosae,,Acacia,,acinacea,,false,false,spec.,"Three Exped. Australia [Mitchell] 2: 265, in adnot. 1838",1838,Lindl.,urn:lsid:ipni.org:publications:18899-2,Lindl.@22383-1@1@aut,,Austral. or,,Three Exped. Australia [Mitchell],,,unknown,"2: 265, in adnot.",,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:469636-1,,Benth.,Acacia aciphylla,Leguminosae,,Acacia,,aciphylla,,false,false,spec.,Linnaea 26: 627. 1855,1855,Benth.,urn:lsid:ipni.org:publications:703-2,Benth.@15956-1@1@aut,,Austral,113783,Linnaea,,,unknown,26: 627,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855,,,,,,,,,,,false,true,,,,
