family,genus,authors,scientific_name,species_number,kew_id,powo_uri
Fabaceae,Astragalus,L.,Astragalus L.,3063,330028-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330028-2
Fabaceae,Acacia,Mill.,Acacia Mill.,1086,325783-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325783-2
Fabaceae,Indigofera,L.,Indigofera L.,713,30001793-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30001793-2
Fabaceae,Crotalaria,L.,Crotalaria L.,712,329745-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329745-2
Fabaceae,Lupinus,L.,Lupinus L.,612,60436956-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60436956-2
Fabaceae,Oxytropis,DC.,Oxytropis DC.,611,331824-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331824-2
Fabaceae,Mimosa,L.,Mimosa L.,595,30001613-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30001613-2
Fabaceae,Chamaecrista,Moench,Chamaecrista Moench,366,329389-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329389-2
Fabaceae,Tephrosia,Pers.,Tephrosia Pers.,358,328365-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:328365-2
Fabaceae,Aspalathus,L.,Aspalathus L.,291,21729-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:21729-1
