"genus","taxon","year"
"Lupinus","Lupinus albus",1753
"Lupinus","Lupinus angustifolius",1753
"Lupinus","Lupinus luteus",1753
"Astragalus","Astragalus chinensis",1762
"Astragalus","Astragalus norvegicus",1784
"Crotalaria","Crotalaria axillaris",1789
"Lupinus","Lupinus sarmentosus",1792
"Astragalus","Astragalus cephalotes",1794
"Astragalus","Astragalus guttatus",1794
"Astragalus","Astragalus suberosus",1794
"Astragalus","Astragalus megalanthus",1802
"Astragalus","Astragalus baionensis",1807
"Astragalus","Astragalus pallasii",1807
"Astragalus","Astragalus verus",1807
"Astragalus","Astragalus aduncus",1808
"Astragalus","Astragalus oxyglottis",1808
"Astragalus","Astragalus siculus",1810
"Astragalus","Astragalus denudatus",1813
"Astragalus","Astragalus tribuloides",1813
"Acacia","Acacia lunata",1820
"Acacia","Acacia mucronata",1820
"Lupinus","Lupinus microcarpus",1823
"Acacia","Acacia anceps",1825
"Acacia","Acacia coriacea",1825
"Astragalus","Astragalus helmii",1825
"Lupinus","Lupinus chamissonis",1826
"Astragalus","Astragalus hypogaeus",1829
"Lupinus","Lupinus albescens",1830
"Astragalus","Astragalus podocarpus",1831
"Oxytropis","Oxytropis uralensis",1831
"Oxytropis","Oxytropis uralensis",1831
"Astragalus","Astragalus ammophilus",1832
"Astragalus","Astragalus graveolens",1835
"Astragalus","Astragalus multiceps",1835
"Astragalus","Astragalus rhizanthus",1835
"Astragalus","Astragalus strictus",1835
"Astragalus","Astragalus trichocarpus",1835
"Astragalus","Astragalus webbianus",1835
"Lupinus","Lupinus albifrons",1835
"Mimosa","Mimosa kermesina",1835
"Oxytropis","Oxytropis ampullata",1835
"Oxytropis","Oxytropis chiliophylla",1835
"Oxytropis","Oxytropis halleri",1835
"Indigofera","Indigofera torulosa",1836
"Acacia","Acacia neurocarpa",1837
"Acacia","Acacia drummondii",1839
"Acacia","Acacia oncinophylla",1839
"Mimosa","Mimosa falcipinna",1841
"Acacia","Acacia arida",1842
"Acacia","Acacia baxteri",1842
"Acacia","Acacia ericifolia",1842
"Acacia","Acacia omalophylla",1842
"Acacia","Acacia stenophylla",1842
"Acacia","Acacia wickhamii",1842
"Acacia","Acacia meisneri",1844
"Acacia","Acacia retinodes",1847
"Astragalus","Astragalus ammodendron",1847
"Oxytropis","Oxytropis middendorffii",1847
"Acacia","Acacia argyrophylla",1848
"Acacia","Acacia gilbertii",1848
"Crotalaria","Crotalaria cunninghamii",1848
"Astragalus","Astragalus cyaneus",1849
"Astragalus","Astragalus parnassi",1849
"Astragalus","Astragalus chaetodon",1852
"Astragalus","Astragalus farctus",1852
"Astragalus","Astragalus sphaerocystis",1852
"Acacia","Acacia aneura",1855
"Acacia","Acacia brachyphylla",1855
"Acacia","Acacia cedroides",1855
"Acacia","Acacia crispula",1855
"Acacia","Acacia dilatata",1855
"Acacia","Acacia lineolata",1855
"Acacia","Acacia pravissima",1855
"Astragalus","Astragalus bracteosus",1856
"Astragalus","Astragalus cretaceus",1856
"Lupinus","Lupinus sparsiflorus",1857
"Acacia","Acacia microcarpa",1858
"Acacia","Acacia sericophylla",1859
"Astragalus","Astragalus chtonocephalus",1859
"Indigofera","Indigofera cryptantha",1862
"Acacia","Acacia pachycarpa",1864
"Acacia","Acacia tumida",1864
"Lupinus","Lupinus burkei",1873
"Lupinus","Lupinus burkei",1873
"Mimosa","Mimosa nossibiensis",1875
"Astragalus","Astragalus ictericus",1881
"Mimosa","Mimosa diversifolia",1883
"Mimosa","Mimosa diversipila",1883
"Astragalus","Astragalus chamaephaca",1890
"Acacia","Acacia howittii",1893
"Astragalus","Astragalus neglectus",1893
"Oxytropis","Oxytropis foucaudii",1894
"Acacia","Acacia cuthbertsonii",1897
"Acacia","Acacia cambagei",1901
"Astragalus","Astragalus arnoldi",1902
"Astragalus","Astragalus fissuralis",1902
"Acacia","Acacia resinimarginea",1904
"Acacia","Acacia resinistipulea",1904
"Indigofera","Indigofera rautanenii",1904
"Indigofera","Indigofera rehmannii",1904
"Acacia","Acacia kochii",1911
"Acacia","Acacia eremophila",1912
"Crotalaria","Crotalaria shanica",1914
"Oxytropis","Oxytropis litoralis",1914
"Astragalus","Astragalus andrasovszkyi",1915
"Astragalus","Astragalus souliei",1915
"Acacia","Acacia boormanii",1916
"Acacia","Acacia drewiana",1917
"Acacia","Acacia kimberleyensis",1917
"Acacia","Acacia bancroftiorum",1918
"Acacia","Acacia rhodoxylon",1919
"Acacia","Acacia havilandiorum",1920
"Acacia","Acacia helmsiana",1920
"Oxytropis","Oxytropis irbis",1921
"Acacia","Acacia abrupta",1927
"Acacia","Acacia acellerata",1927
"Acacia","Acacia angusta",1927
"Acacia","Acacia attenuata",1927
"Acacia","Acacia chrysella",1927
"Acacia","Acacia chrysopoda",1927
"Acacia","Acacia deflexa",1927
"Acacia","Acacia desertorum",1927
"Acacia","Acacia enervia",1927
"Acacia","Acacia eriopoda",1927
"Acacia","Acacia excentrica",1927
"Acacia","Acacia forsythii",1927
"Acacia","Acacia fragilis",1927
"Acacia","Acacia gardneri",1927
"Acacia","Acacia glaucocarpa",1927
"Acacia","Acacia glutinosissima",1927
"Acacia","Acacia jucunda",1927
"Acacia","Acacia kingiana",1927
"Acacia","Acacia lentiginea",1927
"Acacia","Acacia pulviniformis",1927
"Acacia","Acacia pustula",1927
"Acacia","Acacia semilunata",1927
"Acacia","Acacia semirigida",1927
"Astragalus","Astragalus flexuosus",1928
"Acacia","Acacia phlebophylla",1930
"Astragalus","Astragalus aksaicus",1932
"Astragalus","Astragalus kaufmannii",1932
"Astragalus","Astragalus majevskianus",1932
"Astragalus","Astragalus politovii",1932
"Oxytropis","Oxytropis alpestris",1932
"Oxytropis","Oxytropis sumneviczii",1932
"Oxytropis","Oxytropis anertii",1935
"Astragalus","Astragalus alexeenkoanus",1936
"Astragalus","Astragalus chodshenticus",1936
"Astragalus","Astragalus cystocarpus",1936
"Astragalus","Astragalus dissectus",1936
"Astragalus","Astragalus heterodontus",1936
"Astragalus","Astragalus longistipitatus",1936
"Astragalus","Astragalus oldenburgii",1936
"Astragalus","Astragalus subscaposus",1936
"Astragalus","Astragalus wachschi",1936
"Oxytropis","Oxytropis astragaloides",1936
"Oxytropis","Oxytropis gorbunovii",1936
"Oxytropis","Oxytropis puberula",1936
"Astragalus","Astragalus alexeenkoi",1937
"Astragalus","Astragalus antoninae",1937
"Astragalus","Astragalus apiculatus",1937
"Astragalus","Astragalus bischkendicus",1937
"Astragalus","Astragalus discessiflorus",1937
"Astragalus","Astragalus dsharfi",1937
"Astragalus","Astragalus harpocarpus",1937
"Astragalus","Astragalus insignis",1937
"Astragalus","Astragalus karategini",1937
"Astragalus","Astragalus kudrjaschovii",1937
"Astragalus","Astragalus linczevskii",1937
"Astragalus","Astragalus nigrocalyx",1937
"Astragalus","Astragalus ochranthus",1937
"Astragalus","Astragalus ovczinnikovii",1937
"Astragalus","Astragalus oxypterus",1937
"Astragalus","Astragalus pseudoamygdalinus",1937
"Astragalus","Astragalus pseudoeremophysa",1937
"Astragalus","Astragalus roschanicus",1937
"Astragalus","Astragalus rumpens",1937
"Astragalus","Astragalus trachycarpus",1937
"Astragalus","Astragalus varzobicus",1937
"Astragalus","Astragalus zaprjagaevii",1937
"Oxytropis","Oxytropis iskanderica",1937
"Oxytropis","Oxytropis michelsonii",1937
"Astragalus","Astragalus barnassari",1940
"Astragalus","Astragalus montis-aquillae",1940
"Astragalus","Astragalus aktauensis",1941
"Astragalus","Astragalus auratus",1941
"Astragalus","Astragalus aznabjurticus",1941
"Astragalus","Astragalus cartilagineus",1941
"Astragalus","Astragalus pseudanthylloides",1941
"Astragalus","Astragalus pseudorhacodes",1941
"Astragalus","Astragalus pseudoutriger",1941
"Astragalus","Astragalus rubellus",1941
"Astragalus","Astragalus saralensis",1941
"Astragalus","Astragalus terrae-rubrae",1941
"Oxytropis","Oxytropis lasiocarpa",1941
"Oxytropis","Oxytropis scabrida",1941
"Oxytropis","Oxytropis subcapitata",1941
"Oxytropis","Oxytropis talassica",1941
"Oxytropis","Oxytropis tyttantha",1941
"Acacia","Acacia daviesioides",1942
"Astragalus","Astragalus trifoliolatus",1942
"Astragalus","Astragalus ucrainicus",1946
"Astragalus","Astragalus ucrainicus",1946
"Astragalus","Astragalus ciceroides",1948
"Astragalus","Astragalus flexicaulis",1948
"Astragalus","Astragalus mirus",1948
"Astragalus","Astragalus aksaricus",1949
"Astragalus","Astragalus trifoliolatus",1949
"Astragalus","Astragalus caudicosus",1954
"Oxytropis","Oxytropis chakassiensis",1956
"Acacia","Acacia nanodealbata",1957
"Acacia","Acacia mountfordiae",1958
"Astragalus","Astragalus distinctissimus",1958
"Astragalus","Astragalus sobolevskiae",1963
"Acacia","Acacia helicophylla",1974
"Acacia","Acacia redolens",1974
"Astragalus","Astragalus bosbutooensis",1974
"Acacia","Acacia empelioclada",1975
"Astragalus","Astragalus pamirensis",1976
"Crotalaria","Crotalaria chrysantha",1976
"Acacia","Acacia macdonnelliensis",1978
"Acacia","Acacia robiniae",1978
"Oxytropis","Oxytropis babatagi",1978
"Oxytropis","Oxytropis coelestis",1978
"Oxytropis","Oxytropis kukkonenii",1978
"Oxytropis","Oxytropis kuramensis",1978
"Oxytropis","Oxytropis margacea",1978
"Oxytropis","Oxytropis staintonii",1978
"Acacia","Acacia holotricha",1979
"Astragalus","Astragalus atraphaxifolius",1979
"Astragalus","Astragalus junussovii",1979
"Astragalus","Astragalus longisepalus",1979
"Astragalus","Astragalus sarygorensis",1979
"Astragalus","Astragalus austrodarvasicus",1980
"Astragalus","Astragalus bogensis",1980
"Astragalus","Astragalus bor-bulakensis",1980
"Astragalus","Astragalus chilienshanensis",1980
"Astragalus","Astragalus datuensis",1980
"Astragalus","Astragalus degilmonus",1980
"Astragalus","Astragalus gardanikaphtharicus",1980
"Astragalus","Astragalus golmunensis",1980
"Astragalus","Astragalus huiningensis",1980
"Astragalus","Astragalus koikitaensis",1980
"Astragalus","Astragalus latiunguiculatus",1980
"Astragalus","Astragalus porphyrocalyx",1980
"Astragalus","Astragalus pseudoversicolor",1980
"Astragalus","Astragalus ramitensis",1980
"Astragalus","Astragalus sedaensis",1980
"Astragalus","Astragalus subspongocarpus",1980
"Astragalus","Astragalus taipaishanensis",1980
"Astragalus","Astragalus touranicus",1980
"Astragalus","Astragalus zarokoensis",1980
"Crotalaria","Crotalaria aidiostipulata",1980
"Oxytropis","Oxytropis czukotica",1980
"Acacia","Acacia handonis",1981
"Acacia","Acacia tephrina",1981
"Astragalus","Astragalus austroferganicus",1981
"Astragalus","Astragalus basilii",1981
"Astragalus","Astragalus changduensis",1981
"Astragalus","Astragalus chodshamastonicus",1981
"Astragalus","Astragalus czilduchtaroni",1981
"Astragalus","Astragalus kopalensis",1981
"Astragalus","Astragalus korotkovae",1981
"Astragalus","Astragalus krascheninnikovii",1981
"Astragalus","Astragalus lavrenkoi",1981
"Astragalus","Astragalus lentilobus",1981
